chord,chord_root,chord_triad,chord_addition,chord_duration
C#,C#,None,None,0.046439909
C#m,C#,m,None,4.411791384
Abm,Ab,m,None,1.9969160989999999
B,B,None,None,2.2291156469999995
F#,F#,None,None,2.136235827
C#m,C#,m,None,2.1362358280000002
Abm,Ab,m,None,1.9040362809999998
B,B,None,None,2.2755555560000023
F#,F#,None,None,2.275555554999997
C#,C#,None,None,2.1362358280000002
Abm,Ab,m,None,1.8111564619999996
B,B,None,None,2.4148752840000007
F#,F#,None,None,1.9504761899999998
F#6,F#,None,6,1.2074376420000021
Bmaj7,B,maj,7,0.6037188209999975
C#m,C#,m,None,0.5108390020000009
C#,C#,None,None,0.6501587300000011
Abm,Ab,m,None,1.3003174609999988
B,B,None,None,2.2755555550000004
F#,F#,None,None,1.9969161
C#,C#,None,None,2.3684353740000006
Abm7,Ab,m,7,1.9040362809999962
B,B,None,None,2.4148752840000043
F#,F#,None,None,1.5789569159999957
C#,C#,None,None,2.693514739000001
Abm7,Ab,m,7,1.9040362810000033
B,B,None,None,2.4613151929999972
F#,F#,None,None,1.5325170070000027
F#6,F#,None,6,1.486077096999999
C#m,C#,m,None,1.2074376420000021
Abm,Ab,m,None,2.1826757369999967
B,B,None,None,1.9040362810000033
